genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 2,907737,1162754,178,225,2_177,2_224,7,748580,1206275,21643,21705,2_21642,2_21704,7,+,748580,1206275,21643,21705,2_21642,2_21704
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 3,1470186,1887159,282,334,2_281,2_333,6,1526575,1923949,21752,21794,2_21751,2_21793,6,+,1526575,1923949,21752,21794,2_21751,2_21793
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 31,681012,1162754,142,225,2_141,2_224,8,673312,1206275,21626,21705,2_21625,2_21704,8,+,673312,1206275,21626,21705,2_21625,2_21704
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 32,1470186,1887159,282,334,2_281,2_333,6,1526575,1923949,21752,21794,2_21751,2_21793,6,+,1526575,1923949,21752,21794,2_21751,2_21793
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 34,34122,737267,8,150,2_7,2_149,9,74258,717515,24282,24403,2_24281,2_24402,9,+,74258,717515,24282,24403,2_24281,2_24402
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 36,11259636,23250480,474,2309,2_473,2_2308,732,8977166,21074924,24724,26474,2_24723,2_26473,732,+,8977166,21074924,24724,26474,2_24723,2_26473
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 4,11259636,23250480,474,2309,2_473,2_2308,733,8977166,21074924,24724,26474,2_24723,2_26473,733,+,8977166,21074924,24724,26474,2_24723,2_26473
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 11,21407629,22501891,6582,6811,2_6581,2_6810,100,2972980,4274546,27061,27281,2_27060,2_27280,100,+,2972980,4274546,27061,27281,2_27060,2_27280
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 38,21407629,22501891,6582,6811,2_6581,2_6810,100,2972980,4274546,27061,27281,2_27060,2_27280,100,+,2972980,4274546,27061,27281,2_27060,2_27280
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 40,537670,2881232,4588,4970,2_4587,2_4969,165,5449203,7297831,27534,27929,2_27533,2_27928,165,+,5449203,7297831,27534,27929,2_27533,2_27928
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 42,19550890,20236460,6195,6336,2_6194,2_6335,53,25236298,26043715,29172,29304,2_29171,2_29303,53,+,25236298,26043715,29172,29304,2_29171,2_29303
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 7,537670,2881232,4588,4970,2_4587,2_4969,165,5449203,7297831,27534,27929,2_27533,2_27928,165,+,5449203,7297831,27534,27929,2_27533,2_27928
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 9,19550890,20236460,6195,6336,2_6194,2_6335,53,25236298,26043715,29172,29304,2_29171,2_29303,53,+,25236298,26043715,29172,29304,2_29171,2_29303
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 14,2451790,25531516,7700,9786,2_7699,2_9785,808,336155,19942306,9822,11862,2_9821,2_11861,808,+,336155,19942306,9822,11862,2_9821,2_11861
S_diversifolius,S_diversifolius,ptg000004l,ptg000005l,S_diversifolius_vs_S_diversifolius: 15,2451790,25531516,7700,9786,2_7699,2_9785,806,336155,19942306,9822,11862,2_9821,2_11861,806,+,336155,19942306,9822,11862,2_9821,2_11861
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 14,336155,19942306,9822,11862,2_9821,2_11861,808,2451790,25531516,7700,9786,2_7699,2_9785,808,+,2451790,25531516,7700,9786,2_7699,2_9785
S_diversifolius,S_diversifolius,ptg000005l,ptg000004l,S_diversifolius_vs_S_diversifolius: 15,336155,19942306,9822,11862,2_9821,2_11861,806,2451790,25531516,7700,9786,2_7699,2_9785,806,+,2451790,25531516,7700,9786,2_7699,2_9785
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 17,121914,13418349,14039,14727,2_14038,2_14726,254,41820,17025500,32556,33297,2_32555,2_33296,254,+,41820,17025500,32556,33297,2_32555,2_33296
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 19,14324436,17817870,14891,15556,2_14890,2_15555,286,18091807,21721631,33492,34202,2_33491,2_34201,286,+,18091807,21721631,33492,34202,2_33491,2_34201
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 48,121914,13418349,14039,14727,2_14038,2_14726,254,41820,17025500,32556,33297,2_32555,2_33296,254,+,41820,17025500,32556,33297,2_32555,2_33296
S_diversifolius,S_diversifolius,ptg000008l,ptg000022l,S_diversifolius_vs_S_diversifolius: 50,14324436,17817870,14891,15556,2_14890,2_15555,287,18091807,21721631,33492,34202,2_33491,2_34201,287,+,18091807,21721631,33492,34202,2_33491,2_34201
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 21,5217105,6871603,16634,16977,2_16633,2_16976,145,791600,2573002,18716,19045,2_18715,2_19044,145,+,791600,2573002,18716,19045,2_18715,2_19044
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 23,24637001,24824668,18379,18419,2_18378,2_18418,16,20267155,20431884,20404,20443,2_20403,2_20442,16,+,20267155,20431884,20404,20443,2_20403,2_20442
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 26,5217105,6871603,16634,16977,2_16633,2_16976,145,791600,2573002,18716,19045,2_18715,2_19044,145,+,791600,2573002,18716,19045,2_18715,2_19044
S_diversifolius,S_diversifolius,ptg000009l,ptg000010l,S_diversifolius_vs_S_diversifolius: 28,24637001,24824668,18379,18419,2_18378,2_18418,16,20267155,20431884,20404,20443,2_20403,2_20442,16,+,20267155,20431884,20404,20443,2_20403,2_20442
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 21,791600,2573002,18716,19045,2_18715,2_19044,145,5217105,6871603,16634,16977,2_16633,2_16976,145,+,5217105,6871603,16634,16977,2_16633,2_16976
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 23,20267155,20431884,20404,20443,2_20403,2_20442,16,24637001,24824668,18379,18419,2_18378,2_18418,16,+,24637001,24824668,18379,18419,2_18378,2_18418
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 26,791600,2573002,18716,19045,2_18715,2_19044,145,5217105,6871603,16634,16977,2_16633,2_16976,145,+,5217105,6871603,16634,16977,2_16633,2_16976
S_diversifolius,S_diversifolius,ptg000010l,ptg000009l,S_diversifolius_vs_S_diversifolius: 28,20267155,20431884,20404,20443,2_20403,2_20442,16,24637001,24824668,18379,18419,2_18378,2_18418,16,+,24637001,24824668,18379,18419,2_18378,2_18418
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 2,748580,1206275,21643,21705,2_21642,2_21704,7,907737,1162754,178,225,2_177,2_224,7,+,907737,1162754,178,225,2_177,2_224
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 3,1526575,1923949,21752,21794,2_21751,2_21793,6,1470186,1887159,282,334,2_281,2_333,6,+,1470186,1887159,282,334,2_281,2_333
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 31,673312,1206275,21626,21705,2_21625,2_21704,8,681012,1162754,142,225,2_141,2_224,8,+,681012,1162754,142,225,2_141,2_224
S_diversifolius,S_diversifolius,ptg000011l,ptg000001l,S_diversifolius_vs_S_diversifolius: 32,1526575,1923949,21752,21794,2_21751,2_21793,6,1470186,1887159,282,334,2_281,2_333,6,+,1470186,1887159,282,334,2_281,2_333
S_diversifolius,S_diversifolius,ptg000011l,ptg000013l,S_diversifolius_vs_S_diversifolius: 30,269,9500502,21487,21933,2_21486,2_21932,311,92787,10361929,24287,24734,2_24286,2_24733,311,+,92787,10361929,24287,24734,2_24286,2_24733
S_diversifolius,S_diversifolius,ptg000011l,ptg000013l,S_diversifolius_vs_S_diversifolius: 35,269,9500502,21487,21933,2_21486,2_21932,312,92787,10361929,24287,24734,2_24286,2_24733,312,+,92787,10361929,24287,24734,2_24286,2_24733
S_diversifolius,S_diversifolius,ptg000013l,ptg000001l,S_diversifolius_vs_S_diversifolius: 34,74258,717515,24282,24403,2_24281,2_24402,9,34122,737267,8,150,2_7,2_149,9,+,34122,737267,8,150,2_7,2_149
S_diversifolius,S_diversifolius,ptg000013l,ptg000001l,S_diversifolius_vs_S_diversifolius: 36,8977166,21074924,24724,26474,2_24723,2_26473,732,11259636,23250480,474,2309,2_473,2_2308,732,+,11259636,23250480,474,2309,2_473,2_2308
S_diversifolius,S_diversifolius,ptg000013l,ptg000001l,S_diversifolius_vs_S_diversifolius: 4,8977166,21074924,24724,26474,2_24723,2_26473,733,11259636,23250480,474,2309,2_473,2_2308,733,+,11259636,23250480,474,2309,2_473,2_2308
S_diversifolius,S_diversifolius,ptg000013l,ptg000011l,S_diversifolius_vs_S_diversifolius: 30,92787,10361929,24287,24734,2_24286,2_24733,311,269,9500502,21487,21933,2_21486,2_21932,311,+,269,9500502,21487,21933,2_21486,2_21932
S_diversifolius,S_diversifolius,ptg000013l,ptg000011l,S_diversifolius_vs_S_diversifolius: 35,92787,10361929,24287,24734,2_24286,2_24733,312,269,9500502,21487,21933,2_21486,2_21932,312,+,269,9500502,21487,21933,2_21486,2_21932
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 11,2972980,4274546,27061,27281,2_27060,2_27280,100,21407629,22501891,6582,6811,2_6581,2_6810,100,+,21407629,22501891,6582,6811,2_6581,2_6810
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 38,2972980,4274546,27061,27281,2_27060,2_27280,100,21407629,22501891,6582,6811,2_6581,2_6810,100,+,21407629,22501891,6582,6811,2_6581,2_6810
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 40,5449203,7297831,27534,27929,2_27533,2_27928,165,537670,2881232,4588,4970,2_4587,2_4969,165,+,537670,2881232,4588,4970,2_4587,2_4969
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 42,25236298,26043715,29172,29304,2_29171,2_29303,53,19550890,20236460,6195,6336,2_6194,2_6335,53,+,19550890,20236460,6195,6336,2_6194,2_6335
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 7,5449203,7297831,27534,27929,2_27533,2_27928,165,537670,2881232,4588,4970,2_4587,2_4969,165,+,537670,2881232,4588,4970,2_4587,2_4969
S_diversifolius,S_diversifolius,ptg000014l,ptg000003l,S_diversifolius_vs_S_diversifolius: 9,25236298,26043715,29172,29304,2_29171,2_29303,53,19550890,20236460,6195,6336,2_6194,2_6335,53,+,19550890,20236460,6195,6336,2_6194,2_6335
S_diversifolius,S_diversifolius,ptg000015l,ptg000016l,S_diversifolius_vs_S_diversifolius: 45,20450518,22441878,31514,31830,2_31513,2_31829,118,205268,1591525,31832,32138,2_31831,2_32137,118,+,205268,1591525,31832,32138,2_31831,2_32137
S_diversifolius,S_diversifolius,ptg000015l,ptg000016l,S_diversifolius_vs_S_diversifolius: 46,20450518,22441878,31514,31830,2_31513,2_31829,118,205268,1591525,31832,32138,2_31831,2_32137,118,+,205268,1591525,31832,32138,2_31831,2_32137
S_diversifolius,S_diversifolius,ptg000016l,ptg000015l,S_diversifolius_vs_S_diversifolius: 45,205268,1591525,31832,32138,2_31831,2_32137,118,20450518,22441878,31514,31830,2_31513,2_31829,118,+,20450518,22441878,31514,31830,2_31513,2_31829
S_diversifolius,S_diversifolius,ptg000016l,ptg000015l,S_diversifolius_vs_S_diversifolius: 46,205268,1591525,31832,32138,2_31831,2_32137,118,20450518,22441878,31514,31830,2_31513,2_31829,118,+,20450518,22441878,31514,31830,2_31513,2_31829
S_diversifolius,S_diversifolius,ptg000022l,ptg000008l,S_diversifolius_vs_S_diversifolius: 17,41820,17025500,32556,33297,2_32555,2_33296,254,121914,13418349,14039,14727,2_14038,2_14726,254,+,121914,13418349,14039,14727,2_14038,2_14726
S_diversifolius,S_diversifolius,ptg000022l,ptg000008l,S_diversifolius_vs_S_diversifolius: 19,18091807,21721631,33492,34202,2_33491,2_34201,286,14324436,17817870,14891,15556,2_14890,2_15555,286,+,14324436,17817870,14891,15556,2_14890,2_15555
S_diversifolius,S_diversifolius,ptg000022l,ptg000008l,S_diversifolius_vs_S_diversifolius: 48,41820,17025500,32556,33297,2_32555,2_33296,254,121914,13418349,14039,14727,2_14038,2_14726,254,+,121914,13418349,14039,14727,2_14038,2_14726
S_diversifolius,S_diversifolius,ptg000022l,ptg000008l,S_diversifolius_vs_S_diversifolius: 50,18091807,21721631,33492,34202,2_33491,2_34201,287,14324436,17817870,14891,15556,2_14890,2_15555,287,+,14324436,17817870,14891,15556,2_14890,2_15555
S_diversifolius,S_diversifolius,ptg000089l,ptg000113l,S_diversifolius_vs_S_diversifolius: 54,173179,357673,35391,35416,2_35390,2_35415,11,3883,75569,35640,35651,2_35639,2_35650,11,+,3883,75569,35640,35651,2_35639,2_35650
S_diversifolius,S_diversifolius,ptg000089l,ptg000113l,S_diversifolius_vs_S_diversifolius: 55,173179,357673,35391,35416,2_35390,2_35415,11,3883,75569,35640,35651,2_35639,2_35650,11,+,3883,75569,35640,35651,2_35639,2_35650
S_diversifolius,S_diversifolius,ptg000089l,ptg000129l,S_diversifolius_vs_S_diversifolius: 53,70823,332721,35377,35412,2_35376,2_35411,19,8653,165838,35758,35777,2_35757,2_35776,19,+,8653,165838,35758,35777,2_35757,2_35776
S_diversifolius,S_diversifolius,ptg000089l,ptg000129l,S_diversifolius_vs_S_diversifolius: 57,70823,332721,35377,35412,2_35376,2_35411,19,8653,165838,35758,35777,2_35757,2_35776,19,+,8653,165838,35758,35777,2_35757,2_35776
S_diversifolius,S_diversifolius,ptg000113l,ptg000089l,S_diversifolius_vs_S_diversifolius: 54,3883,75569,35640,35651,2_35639,2_35650,11,173179,357673,35391,35416,2_35390,2_35415,11,+,173179,357673,35391,35416,2_35390,2_35415
S_diversifolius,S_diversifolius,ptg000113l,ptg000089l,S_diversifolius_vs_S_diversifolius: 55,3883,75569,35640,35651,2_35639,2_35650,11,173179,357673,35391,35416,2_35390,2_35415,11,+,173179,357673,35391,35416,2_35390,2_35415
S_diversifolius,S_diversifolius,ptg000129l,ptg000089l,S_diversifolius_vs_S_diversifolius: 53,8653,165838,35758,35777,2_35757,2_35776,19,70823,332721,35377,35412,2_35376,2_35411,19,+,70823,332721,35377,35412,2_35376,2_35411
S_diversifolius,S_diversifolius,ptg000129l,ptg000089l,S_diversifolius_vs_S_diversifolius: 57,8653,165838,35758,35777,2_35757,2_35776,19,70823,332721,35377,35412,2_35376,2_35411,19,+,70823,332721,35377,35412,2_35376,2_35411
S_diversifolius,S_diversifolius,ptg000002l,ptg000015l,S_diversifolius_vs_S_diversifolius: 44,82680,20893738,2311,4463,2_2310,2_4462,829,5364,20449017,29416,31513,2_29415,2_31512,829,-,20449017,5364,31513,29416,2_31512,2_29415
S_diversifolius,S_diversifolius,ptg000002l,ptg000015l,S_diversifolius_vs_S_diversifolius: 5,82680,20893738,2311,4463,2_2310,2_4462,829,5364,20449017,29416,31513,2_29415,2_31512,829,-,20449017,5364,31513,29416,2_31512,2_29415
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 10,20258764,21379591,6345,6572,2_6344,2_6571,97,4295470,5405994,27286,27523,2_27285,2_27522,97,-,5405994,4295470,27523,27286,2_27522,2_27285
S_diversifolius,S_diversifolius,ptg000003l,ptg000014l,S_diversifolius_vs_S_diversifolius: 12,22503890,25791722,6813,7420,2_6812,2_7419,243,11786,2965418,26479,27058,2_26478,2_27057,243,-,2965418,11786,27058,26479,2_27057,2_26478
