#FamilyID	pvalue	Significant at 0.05
OG0000225	0.001	y
OG0000226	0.585	n
OG0000228	0.932	n
OG0000229	0	y
OG0000235	0.001	y
OG0000236	0.001	y
OG0000243	0	y
OG0000247	0.115	n
OG0000248	0.016	y
OG0000250	0.168	n
OG0000251	0	y
OG0000255	0	y
OG0000257	0	y
OG0000259	0.001	y
OG0000260	0	y
OG0000261	0	y
OG0000265	0	y
OG0000268	0	y
OG0000269	0.55	n
OG0000271	0	y
OG0000272	0	y
OG0000273	0.184	n
OG0000274	0	y
OG0000275	0.012	y
OG0000277	0	y
OG0000278	0.011	y
OG0000280	0	y
OG0000281	0.001	y
OG0000284	0.009	y
OG0000285	0	y
OG0000288	0.001	y
OG0000289	0	y
OG0000290	0.047	y
OG0000291	0	y
OG0000292	0.019	y
OG0000293	0.046	y
OG0000294	0	y
OG0000295	0	y
OG0000297	0	y
OG0000301	0.001	y
OG0000303	0.849	n
OG0000304	0	y
OG0000305	0	y
OG0000307	0.001	y
OG0000308	0.757	n
OG0000309	0.365	n
OG0000310	0.107	n
OG0000311	0	y
OG0000312	0	y
OG0000316	0.035	y
OG0000318	0	y
OG0000319	0	y
OG0000321	0	y
OG0000325	0.458	n
OG0000326	0.012	y
OG0000327	0.363	n
OG0000329	0.004	y
OG0000330	0	y
OG0000333	0	y
OG0000335	0.02	y
OG0000336	0.182	n
OG0000337	0	y
OG0000338	0.005	y
OG0000340	0.542	n
OG0000341	0.012	y
OG0000343	0.001	y
OG0000344	0.056	n
OG0000345	0.317	n
OG0000347	0.238	n
OG0000349	0.078	n
OG0000350	0.204	n
OG0000352	0	y
OG0000356	0.001	y
OG0000357	0.006	y
OG0000358	0.299	n
OG0000360	0	y
OG0000361	0.375	n
OG0000362	0.002	y
OG0000363	0	y
OG0000369	0	y
OG0000378	0	y
OG0000379	0.899	n
OG0000380	0.088	n
OG0000381	0.18	n
OG0000382	0.087	n
OG0000383	0.05	n
OG0000384	0	y
OG0000385	0.209	n
OG0000386	0	y
OG0000392	0.196	n
OG0000396	0	y
OG0000397	0.58	n
OG0000398	0.034	y
OG0000404	0.001	y
OG0000405	0	y
OG0000406	0.168	n
OG0000407	0.419	n
OG0000408	0.41	n
OG0000410	0.357	n
OG0000411	0.887	n
OG0000413	0.085	n
OG0000414	0	y
OG0000415	0	y
OG0000419	0.004	y
OG0000420	0	y
OG0000422	0	y
OG0000423	0	y
OG0000424	0.397	n
OG0000427	0	y
OG0000429	0.344	n
OG0000430	0.054	n
OG0000433	0	y
OG0000434	0	y
OG0000435	0.072	n
OG0000437	0.016	y
OG0000440	0.391	n
OG0000441	0.471	n
OG0000442	0.008	y
OG0000443	0	y
OG0000444	0	y
OG0000446	0	y
OG0000451	0.354	n
OG0000452	0.773	n
OG0000453	0	y
OG0000454	0	y
OG0000455	0.003	y
OG0000456	0.007	y
OG0000457	0.003	y
OG0000458	0.019	y
OG0000459	0.009	y
OG0000460	0.323	n
OG0000461	0.202	n
OG0000466	0.176	n
OG0000467	0.078	n
OG0000468	0.039	y
OG0000469	0.37	n
OG0000471	0.222	n
OG0000472	0	y
OG0000473	0	y
OG0000478	0.351	n
OG0000480	0.805	n
OG0000481	0.903	n
OG0000484	0.567	n
OG0000485	0	y
OG0000487	0.12	n
OG0000488	0.141	n
OG0000489	0	y
OG0000490	0.12	n
OG0000491	0.784	n
OG0000492	0.702	n
OG0000494	0	y
OG0000499	0.128	n
OG0000500	0.054	n
OG0000501	0.604	n
OG0000502	0.422	n
OG0000503	0	y
OG0000504	0.299	n
OG0000505	0.787	n
OG0000507	0.011	y
OG0000508	0.038	y
OG0000509	0.444	n
OG0000510	0.936	n
OG0000511	0.034	y
OG0000515	0.003	y
OG0000516	0	y
OG0000519	0.978	n
OG0000520	0	y
OG0000521	0.785	n
OG0000522	0.055	n
OG0000523	0.199	n
OG0000524	0.806	n
OG0000525	0.272	n
OG0000526	0.248	n
OG0000531	0.004	y
OG0000532	0.588	n
OG0000534	0.009	y
OG0000535	0.729	n
OG0000536	0.365	n
OG0000537	0.923	n
OG0000538	0.02	y
OG0000539	0	y
OG0000540	0.796	n
OG0000541	0.367	n
OG0000542	0	y
OG0000543	0	y
OG0000549	0.411	n
OG0000550	0.031	y
OG0000551	0.249	n
OG0000552	0.147	n
OG0000553	0.011	y
OG0000559	0.543	n
OG0000561	0.077	n
OG0000562	0.857	n
OG0000563	0.009	y
OG0000565	0	y
OG0000566	0.003	y
OG0000567	0.05	n
OG0000568	0.354	n
OG0000569	0.088	n
OG0000570	0.378	n
OG0000571	0.763	n
OG0000572	0.972	n
OG0000573	0.001	y
OG0000574	0.013	y
OG0000575	0	y
OG0000576	0	y
OG0000583	0.158	n
OG0000584	0.906	n
OG0000585	0.511	n
OG0000587	0.808	n
OG0000588	0.135	n
OG0000589	0.067	n
OG0000590	0.948	n
OG0000591	0.845	n
OG0000592	0.158	n
OG0000593	0.966	n
OG0000595	0.076	n
OG0000596	0.013	y
OG0000597	0.678	n
OG0000598	0.313	n
OG0000599	0.719	n
OG0000600	0	y
OG0000601	0.018	y
OG0000602	0.831	n
OG0000603	0.422	n
OG0000608	0.131	n
OG0000609	0.655	n
OG0000610	0.05	n
OG0000611	0.194	n
OG0000612	0.001	y
OG0000613	0.558	n
OG0000614	0.291	n
OG0000615	0.05	n
OG0000616	0.078	n
OG0000617	0.18	n
OG0000618	0.857	n
OG0000619	0	y
OG0000620	0	y
OG0000621	0.268	n
OG0000622	0.351	n
OG0000628	0.447	n
OG0000629	0.034	y
OG0000630	0	y
OG0000631	0.808	n
OG0000632	0.079	n
OG0000633	0.015	y
OG0000634	0.421	n
OG0000635	0.234	n
OG0000636	0.618	n
OG0000638	0.35	n
OG0000639	0.02	y
OG0000640	0.314	n
OG0000641	0.655	n
OG0000642	0.001	y
OG0000645	0.001	y
OG0000646	0	y
OG0000652	0.003	y
OG0000653	0.441	n
OG0000654	0.588	n
OG0000655	0.109	n
OG0000656	0	y
OG0000658	0.068	n
OG0000660	0.928	n
OG0000661	0.762	n
OG0000662	0	y
OG0000663	0.727	n
OG0000664	0.969	n
OG0000665	0.242	n
OG0000666	0.02	y
OG0000669	0.28	n
OG0000670	0.496	n
OG0000671	0	y
OG0000673	0.709	n
OG0000674	0.36	n
OG0000675	0.534	n
OG0000678	0.007	y
OG0000679	0	y
OG0000684	0.966	n
OG0000685	0.922	n
OG0000686	0.908	n
OG0000687	0.466	n
OG0000688	0.792	n
OG0000690	0.015	y
OG0000691	0.736	n
OG0000692	0.907	n
OG0000693	0.762	n
OG0000694	0.085	n
OG0000695	0.825	n
OG0000696	0.081	n
OG0000700	0.522	n
OG0000701	0.958	n
OG0000703	0.48	n
OG0000704	0.829	n
OG0000705	0.703	n
OG0000706	0.002	y
OG0000711	0.343	n
OG0000712	0.695	n
OG0000713	0	y
OG0000714	0.078	n
OG0000716	0	y
OG0000717	0	y
OG0000718	0	y
OG0000719	0	y
OG0000720	0	y
OG0000728	0.021	y
OG0000729	0	y
OG0000731	0.248	n
OG0000732	0.917	n
OG0000733	0.871	n
OG0000734	0.035	y
OG0000735	0.989	n
OG0000736	0.742	n
OG0000737	0.94	n
OG0000739	0.492	n
OG0000740	0.291	n
OG0000741	0.961	n
OG0000742	0.512	n
OG0000743	0.016	y
OG0000745	0.707	n
OG0000746	0.88	n
OG0000748	0.223	n
OG0000750	0.974	n
OG0000758	0.448	n
OG0000759	0.553	n
OG0000760	0.585	n
OG0000761	0.494	n
OG0000762	0.303	n
OG0000764	0	y
OG0000765	0.487	n
OG0000766	0.885	n
OG0000768	0.947	n
OG0000769	0.001	y
OG0000770	0.001	y
OG0000772	0.033	y
OG0000773	0.034	y
OG0000774	0.924	n
OG0000775	0.956	n
OG0000776	0.007	y
OG0000777	0.487	n
OG0000779	0.885	n
OG0000780	0.919	n
OG0000781	0.885	n
OG0000782	0.699	n
OG0000783	0.252	n
OG0000784	0.001	y
OG0000785	0.81	n
OG0000786	0.025	y
OG0000787	0	y
OG0000788	0	y
OG0000789	0	y
OG0000791	0.922	n
OG0000793	0.318	n
OG0000794	0.948	n
OG0000795	0.423	n
OG0000796	0	y
OG0000797	0.989	n
OG0000798	0.679	n
OG0000799	0.908	n
OG0000800	0.942	n
OG0000801	0.383	n
OG0000802	0.769	n
OG0000803	0.614	n
OG0000804	0.718	n
OG0000805	0.877	n
OG0000806	0.942	n
OG0000807	0	y
OG0000808	0	y
OG0000809	0	y
OG0000813	0.991	n
OG0000814	0.758	n
OG0000815	0.077	n
OG0000816	0.92	n
OG0000817	0.203	n
OG0000818	0.994	n
OG0000819	0.843	n
OG0000820	0	y
OG0000821	0	y
OG0000822	0.107	n
OG0000823	0.958	n
OG0000824	0.84	n
OG0000825	0.327	n
OG0000826	0.015	y
OG0000827	0.068	n
OG0000828	0.979	n
OG0000829	0.867	n
OG0000830	0.114	n
OG0000832	0.434	n
OG0000834	0.002	y
OG0000835	0.707	n
OG0000837	0.665	n
OG0000839	0.853	n
OG0000840	0.203	n
OG0000841	0.932	n
OG0000842	0.633	n
OG0000843	0.216	n
OG0000844	0.99	n
OG0000845	0.078	n
OG0000846	0.381	n
OG0000847	0.416	n
OG0000848	0.749	n
OG0000850	0.872	n
OG0000851	0.001	y
OG0000852	0.003	y
OG0000853	0	y
OG0000863	0.685	n
OG0000864	0.736	n
OG0000865	0.996	n
OG0000866	0.802	n
OG0000867	0.212	n
OG0000868	0	y
OG0000869	0.154	n
OG0000870	0.49	n
OG0000871	0.778	n
OG0000872	0.577	n
OG0000873	0.769	n
OG0000874	0.956	n
OG0000875	0.742	n
OG0000876	0.169	n
OG0000878	0.777	n
OG0000879	0.042	y
OG0000880	0.59	n
OG0000881	0.294	n
OG0000882	0.908	n
OG0000883	0.716	n
OG0000884	0.423	n
OG0000885	0.076	n
OG0000886	0.936	n
OG0000887	0.744	n
OG0000888	0.05	n
OG0000889	0.436	n
OG0000890	0.786	n
OG0000891	0.569	n
OG0000892	0.423	n
OG0000894	0.203	n
OG0000895	0.698	n
OG0000896	0	y
OG0000897	0	y
OG0000898	0	y
OG0000905	0.161	n
OG0000906	0.223	n
OG0000907	0.924	n
OG0000908	0.938	n
OG0000909	0.916	n
OG0000910	0.697	n
OG0000911	0.115	n
OG0000912	0.882	n
OG0000913	0.941	n
OG0000914	0.002	y
OG0000915	0.034	y
OG0000916	0.746	n
OG0000917	0.877	n
OG0000918	0.849	n
OG0000919	0.313	n
OG0000920	0.557	n
OG0000921	0.015	y
OG0000922	0.491	n
OG0000923	0.803	n
OG0000924	0.246	n
OG0000925	0.675	n
OG0000926	0.935	n
OG0000927	0.08	n
OG0000928	0	y
OG0000929	0.728	n
OG0000930	0.39	n
OG0000931	0.806	n
OG0000932	0	y
OG0000933	0.031	y
OG0000934	0.201	n
OG0000935	0	y
OG0000936	0.005	y
OG0000942	0.119	n
OG0000943	0.788	n
OG0000944	0.932	n
OG0000945	0.595	n
OG0000946	0.987	n
OG0000947	0.779	n
OG0000948	0.98	n
OG0000950	0.856	n
OG0000952	0.653	n
OG0000953	0.893	n
OG0000955	0.693	n
OG0000957	0.831	n
OG0000958	0.591	n
OG0000959	0.467	n
OG0000960	0.772	n
OG0000961	0.985	n
OG0000962	0.57	n
OG0000963	0.589	n
OG0000964	0.003	y
OG0000966	0.672	n
OG0000967	0.924	n
OG0000968	0.987	n
OG0000969	0.557	n
OG0000970	0.843	n
OG0000971	0.806	n
OG0000972	0.805	n
OG0000973	0.801	n
OG0000981	0.175	n
OG0000982	0.5	n
OG0000983	0.929	n
OG0000984	0.448	n
OG0000985	0.818	n
OG0000986	0.653	n
OG0000987	0.523	n
OG0000988	0.389	n
OG0000989	0.849	n
OG0000991	0.944	n
OG0000992	0.962	n
OG0000993	0.509	n
OG0000994	0.682	n
OG0000996	0.713	n
OG0000997	0.49	n
OG0000998	0.697	n
OG0000999	0.561	n
OG0001001	0.681	n
OG0001002	0.112	n
OG0001003	0.619	n
OG0001004	0.075	n
OG0001005	0.328	n
OG0001006	0.407	n
OG0001007	0.957	n
OG0001008	0.029	y
OG0001009	0.252	n
OG0001011	0.413	n
OG0001012	0.921	n
OG0001013	0.77	n
OG0001015	0.005	y
OG0001016	0.885	n
OG0001017	0.716	n
OG0001018	0.893	n
OG0001020	0	y
OG0001026	0.568	n
OG0001027	0.334	n
OG0001028	0.982	n
OG0001029	0.738	n
OG0001030	0.4	n
OG0001031	0.681	n
OG0001032	0.512	n
OG0001033	0.893	n
OG0001034	0.007	y
OG0001035	0.919	n
OG0001036	0.516	n
OG0001037	0.832	n
OG0001038	0.113	n
OG0001039	0.68	n
OG0001042	0.713	n
OG0001045	0.098	n
OG0001047	0.892	n
OG0001048	0.896	n
OG0001049	0.31	n
OG0001051	0.385	n
OG0001052	0.342	n
OG0001053	0.678	n
OG0001054	0.946	n
OG0001055	0.968	n
OG0001056	0.002	y
OG0001057	0.653	n
OG0001058	0.426	n
OG0001059	0.734	n
OG0001060	0.837	n
OG0001061	0	y
OG0001062	0.987	n
OG0001063	0	y
OG0001075	0.734	n
OG0001076	0	y
OG0001077	0.287	n
OG0001078	0.475	n
OG0001079	0.804	n
OG0001081	0.983	n
OG0001082	0.81	n
OG0001083	0.998	n
OG0001084	0.968	n
OG0001087	0.272	n
OG0001088	0.334	n
OG0001090	0.005	y
OG0001091	0.633	n
OG0001093	0.046	y
OG0001094	0.807	n
OG0001095	0.892	n
OG0001096	0.957	n
OG0001097	0.543	n
OG0001098	0.983	n
OG0001099	0.714	n
OG0001100	0.542	n
OG0001101	0.298	n
OG0001103	0.075	n
OG0001104	0.776	n
OG0001105	0.367	n
OG0001106	0.204	n
OG0001108	0.686	n
OG0001109	0.313	n
OG0001111	0.005	y
OG0001112	0.079	n
OG0001113	0.042	y
OG0001114	0.005	y
OG0001115	0.024	y
OG0001116	0	y
OG0001119	0.786	n
OG0001120	0.841	n
OG0001121	0.507	n
OG0001122	0.919	n
OG0001123	0.475	n
OG0001124	0.93	n
OG0001125	0.224	n
OG0001127	0.218	n
OG0001128	0.36	n
OG0001129	0.616	n
OG0001130	0.963	n
OG0001131	0.86	n
OG0001132	0.12	n
OG0001133	0.757	n
OG0001134	0.986	n
OG0001136	0.84	n
OG0001137	0.587	n
OG0001138	0.251	n
OG0001140	0.288	n
OG0001141	0.987	n
OG0001142	0.985	n
OG0001144	0.283	n
OG0001145	0.598	n
OG0001146	0.78	n
OG0001148	0.836	n
OG0001150	0.353	n
OG0001151	0.013	y
OG0001152	0.064	n
OG0001153	0.79	n
OG0001155	0.339	n
OG0001156	0.436	n
OG0001159	0.244	n
OG0001160	0.007	y
OG0001164	0.375	n
OG0001165	0.897	n
OG0001167	0.039	y
OG0001168	0.831	n
OG0001169	0.987	n
OG0001170	0.137	n
OG0001171	0.947	n
OG0001172	0.193	n
OG0001173	0.531	n
OG0001174	0.855	n
OG0001175	0.767	n
OG0001176	0.653	n
OG0001177	0.778	n
OG0001178	0.243	n
OG0001179	0.684	n
OG0001180	0.588	n
OG0001181	0.924	n
OG0001182	0.979	n
OG0001183	0.806	n
OG0001184	0.214	n
OG0001185	0.906	n
OG0001186	0.795	n
OG0001187	0.496	n
OG0001188	0.467	n
OG0001189	0.763	n
OG0001190	0.574	n
OG0001191	0.301	n
OG0001192	0.829	n
OG0001194	0.013	y
OG0001196	0.542	n
OG0001197	0.919	n
OG0001198	0.854	n
OG0001199	0.653	n
OG0001200	0.557	n
OG0001201	0.97	n
OG0001202	0.79	n
OG0001203	0.81	n
OG0001204	0.7	n
OG0001205	0.684	n
OG0001206	0.654	n
OG0001207	0.112	n
OG0001208	0.968	n
OG0001209	0.223	n
OG0001210	0.93	n
OG0001211	0.419	n
OG0001212	0.046	y
OG0001213	0.656	n
OG0001215	0.07	n
OG0001216	0.397	n
OG0001217	0.002	y
OG0001218	0.526	n
OG0001219	0	y
OG0001220	0.582	n
OG0001221	0	y
OG0001225	0.599	n
OG0001226	0.225	n
OG0001227	0.772	n
OG0001228	0.639	n
OG0001229	0.473	n
OG0001230	0.27	n
OG0001231	0.916	n
OG0001232	0.005	y
OG0001233	0.714	n
OG0001234	0.01	y
OG0001235	0.96	n
OG0001236	0.616	n
OG0001237	0.389	n
OG0001238	0.96	n
OG0001239	0.77	n
OG0001240	0.985	n
OG0001241	0.025	y
OG0001242	0.303	n
OG0001243	0.168	n
OG0001244	0.519	n
OG0001245	0.669	n
OG0001246	0.943	n
OG0001247	0.02	y
OG0001249	0.558	n
OG0001250	0.689	n
OG0001252	0.871	n
OG0001255	0.264	n
OG0001257	0.992	n
OG0001258	0.752	n
OG0001261	0.946	n
OG0001262	0.654	n
OG0001263	0.923	n
OG0001264	0.647	n
OG0001265	0.534	n
OG0001266	0.485	n
OG0001269	0.123	n
OG0001270	0.708	n
OG0001271	0.739	n
OG0001272	0.124	n
OG0001273	0.36	n
OG0001274	0	y
OG0001275	0.595	n
OG0001276	0	y
OG0001284	0.033	y
OG0001285	0.025	y
OG0001286	0.981	n
OG0001287	0.882	n
OG0001289	0.989	n
OG0001291	0.935	n
OG0001292	0.459	n
OG0001293	0.629	n
OG0001294	0.429	n
OG0001296	0.923	n
OG0001297	0.93	n
OG0001298	0.821	n
OG0001299	0.992	n
OG0001300	0.08	n
OG0001301	0.943	n
OG0001302	0.211	n
OG0001304	0.983	n
OG0001305	0.345	n
OG0001306	0.927	n
OG0001307	0.058	n
OG0001308	0.635	n
OG0001311	0.807	n
OG0001312	0.985	n
OG0001313	0.364	n
OG0001314	0.129	n
OG0001315	0.734	n
OG0001316	0.99	n
OG0001318	0.958	n
OG0001319	0.005	y
OG0001320	0.007	y
OG0001321	0.992	n
OG0001322	0.932	n
OG0001323	0.916	n
OG0001325	0.496	n
OG0001326	0.923	n
OG0001327	0.011	y
OG0001328	0.989	n
OG0001330	0.191	n
OG0001331	0.998	n
OG0001332	0.922	n
OG0001333	0.109	n
OG0001334	0.856	n
OG0001335	0.429	n
OG0001336	0.004	y
OG0001337	0.935	n
OG0001338	0.987	n
OG0001339	0.987	n
OG0001340	0.611	n
OG0001341	0.697	n
OG0001344	0.888	n
OG0001347	0.744	n
OG0001348	0.748	n
OG0001349	0.798	n
OG0001351	0.429	n
OG0001353	0.08	n
OG0001361	0.885	n
OG0001362	0.925	n
OG0001363	0.925	n
OG0001364	0.922	n
OG0001365	0.987	n
OG0001366	0.946	n
OG0001367	0.951	n
OG0001368	0.757	n
OG0001369	0.954	n
OG0001370	0.966	n
OG0001371	0.777	n
OG0001372	0.947	n
OG0001373	0.976	n
OG0001374	0.923	n
OG0001375	0.872	n
OG0001376	0.932	n
OG0001377	0.651	n
OG0001378	0.431	n
OG0001379	0.998	n
OG0001380	0.998	n
OG0001381	0.783	n
OG0001382	0.924	n
OG0001383	0.889	n
OG0001384	0.96	n
OG0001385	0.991	n
OG0001386	0.97	n
OG0001387	0.146	n
OG0001388	0.418	n
OG0001389	0.967	n
OG0001390	0.835	n
OG0001391	0.317	n
OG0001392	0.214	n
OG0001393	0.588	n
OG0001394	0.842	n
OG0001395	0.998	n
OG0001396	0.922	n
OG0001397	0.78	n
OG0001398	0.992	n
OG0001399	0.982	n
OG0001400	0.984	n
OG0001401	0.976	n
OG0001402	0.701	n
OG0001403	0.574	n
OG0001404	0.046	y
OG0001405	0.578	n
OG0001406	0.823	n
OG0001407	0.966	n
OG0001408	0.86	n
OG0001409	0.849	n
OG0001410	0.924	n
OG0001411	0.004	y
OG0001412	0.996	n
OG0001413	0.86	n
OG0001414	0.654	n
OG0001415	0.753	n
OG0001416	0.718	n
OG0001417	0.932	n
OG0001418	0.924	n
OG0001420	0.96	n
OG0001421	0.821	n
OG0001422	0.417	n
OG0001423	0.221	n
OG0001424	0.262	n
OG0001425	0.888	n
OG0001426	0.947	n
OG0001427	0.968	n
OG0001428	0.176	n
OG0001429	0.79	n
OG0001430	0.905	n
OG0001431	0.596	n
OG0001432	0.742	n
OG0001433	0.221	n
OG0001434	0.448	n
OG0001435	0.888	n
OG0001436	0.242	n
OG0001437	0.89	n
OG0001438	0.887	n
OG0001439	0.369	n
OG0001441	0.846	n
OG0001442	0.323	n
OG0001443	0.604	n
OG0001444	0.834	n
OG0001445	0.17	n
OG0001446	0.283	n
OG0001448	0.48	n
OG0001449	0.916	n
OG0001450	0.058	n
OG0001453	0.015	y
OG0001468	0.965	n
OG0001469	0.643	n
OG0001470	0.811	n
OG0001471	0.876	n
OG0001472	0.755	n
OG0001473	0.998	n
OG0001474	0.998	n
OG0001475	0.963	n
OG0001476	0.889	n
OG0001477	0.459	n
OG0001479	0.53	n
OG0001480	0.908	n
OG0001481	0.782	n
OG0001482	0.001	y
OG0001483	0.943	n
OG0001484	0.996	n
OG0001485	0.969	n
OG0001486	0.946	n
OG0001487	0.581	n
OG0001488	0.983	n
OG0001489	0.034	y
OG0001490	0.434	n
OG0001491	0.979	n
OG0001492	0.947	n
OG0001493	0.33	n
OG0001495	0.549	n
OG0001496	0.831	n
OG0001497	0.922	n
OG0001499	0.681	n
OG0001500	0.951	n
OG0001501	0.978	n
OG0001502	0.777	n
OG0001503	0.123	n
OG0001504	0.88	n
OG0001505	0.494	n
OG0001506	0.948	n
OG0001507	0.697	n
OG0001508	0.922	n
OG0001510	0.876	n
OG0001511	0.135	n
OG0001512	0.885	n
OG0001513	0.79	n
OG0001514	0.966	n
OG0001515	0.923	n
OG0001516	0.514	n
OG0001517	0.947	n
OG0001518	0.992	n
OG0001519	0.744	n
OG0001520	0.979	n
OG0001521	0.435	n
OG0001522	0.123	n
OG0001523	0.949	n
OG0001526	0.924	n
OG0001527	0.545	n
OG0001528	0.924	n
OG0001529	0.951	n
OG0001530	0.933	n
OG0001531	0.982	n
OG0001532	0.514	n
OG0001533	0.577	n
OG0001534	0.684	n
OG0001535	0.959	n
OG0001536	0.987	n
OG0001537	0.526	n
OG0001538	0.916	n
OG0001539	0.128	n
OG0001540	0.697	n
OG0001542	0.161	n
OG0001543	0.782	n
OG0001544	0.615	n
OG0001546	0.009	y
OG0001549	0.792	n
OG0001550	0.182	n
OG0001552	0.01	y
OG0001554	0	y
OG0001555	0.007	y
OG0001570	0.937	n
OG0001571	0.015	y
OG0001572	0.923	n
OG0001573	0.951	n
OG0001574	0.982	n
OG0001575	0.966	n
OG0001576	0.982	n
OG0001577	0.865	n
OG0001578	0.98	n
OG0001579	0.966	n
OG0001580	0.985	n
OG0001581	0.716	n
OG0001582	0.99	n
OG0001583	0.985	n
OG0001584	0.821	n
OG0001585	0.713	n
OG0001586	0.94	n
OG0001587	0.958	n
OG0001588	0.01	y
OG0001589	0.923	n
OG0001590	0.87	n
OG0001591	0.612	n
OG0001592	0.293	n
OG0001594	0.964	n
OG0001595	0.516	n
OG0001596	0.654	n
OG0001597	0.577	n
OG0001598	0.736	n
OG0001599	0.925	n
OG0001600	0.997	n
OG0001601	0.994	n
OG0001602	0.911	n
OG0001603	0.992	n
OG0001604	0.713	n
OG0001605	0.832	n
OG0001606	0.855	n
OG0001607	0.965	n
OG0001608	0.998	n
OG0001609	0.986	n
OG0001610	0.996	n
OG0001611	0.992	n
OG0001612	0.999	n
OG0001613	0.868	n
OG0001614	0.885	n
OG0001616	0.983	n
OG0001617	0.051	n
OG0001618	0.868	n
OG0001619	0.947	n
OG0001620	0.933	n
OG0001621	0.441	n
OG0001622	0.949	n
OG0001623	0.619	n
OG0001624	0.925	n
OG0001625	0.883	n
OG0001626	0.923	n
OG0001627	0.989	n
OG0001628	0.987	n
OG0001629	0.913	n
OG0001630	0.942	n
OG0001631	0.95	n
OG0001632	0.94	n
OG0001633	0.893	n
OG0001634	0.982	n
OG0001635	0.076	n
OG0001636	0.212	n
OG0001637	0.888	n
OG0001638	0.847	n
OG0001639	0.763	n
OG0001640	0.611	n
OG0001641	0.408	n
OG0001645	0.86	n
OG0001646	0.951	n
OG0001647	0.68	n
OG0001648	0.656	n
OG0001649	0.923	n
OG0001650	0.945	n
OG0001651	0.927	n
OG0001652	0.888	n
OG0001653	0.948	n
OG0001654	0.906	n
OG0001655	0.823	n
OG0001656	0.122	n
OG0001657	0.999	n
OG0001658	0.779	n
OG0001659	0.161	n
OG0001660	0.951	n
OG0001661	0.923	n
OG0001662	0.933	n
OG0001663	0.985	n
OG0001664	0.714	n
OG0001666	0.925	n
OG0001667	0.056	n
OG0001668	0.846	n
OG0001669	0.885	n
OG0001670	0.836	n
OG0001671	0.925	n
OG0001672	0.746	n
OG0001673	0.725	n
OG0001674	0.927	n
OG0001675	0.064	n
OG0001676	0.966	n
OG0001677	0.926	n
OG0001678	0.929	n
OG0001679	0.925	n
OG0001680	0.819	n
OG0001681	0.97	n
OG0001682	0.256	n
OG0001683	0.058	n
OG0001685	0.88	n
OG0001686	0.725	n
OG0001687	0.019	y
OG0001688	0	y
OG0001695	0.876	n
OG0001696	0.834	n
OG0001697	0.226	n
OG0001698	0.787	n
OG0001699	0.978	n
OG0001700	0.999	n
OG0001701	0.795	n
OG0001702	0.985	n
OG0001703	0.822	n
OG0001704	0.998	n
OG0001705	0.989	n
OG0001706	0.327	n
OG0001707	0.985	n
OG0001708	0.981	n
OG0001709	0.959	n
OG0001710	0.922	n
OG0001711	0.923	n
OG0001712	0.907	n
OG0001713	0.966	n
OG0001714	0.146	n
OG0001715	0.985	n
OG0001717	0.005	y
OG0001718	0.991	n
OG0001719	0.968	n
OG0001720	0.98	n
OG0001721	0.94	n
OG0001722	0.923	n
OG0001723	0.568	n
OG0001724	0.966	n
OG0001725	0.369	n
OG0001727	0.856	n
OG0001728	0.877	n
OG0001729	0.99	n
OG0001730	0.987	n
OG0001731	0.585	n
OG0001732	0.966	n
OG0001733	0.925	n
OG0001734	0.987	n
