Orthogroup	S_pinnata	E_salsugineum
OG0000013	Stapi.1634s0004, Stapi.0421s0022	Thhalv10010325m.g
OG0000017	Stapi.0044s0025	Thhalv10002031m.g
OG0000020	Stapi.1907s0001, Stapi.0009s0023, Stapi.0111s0021, Stapi.1358s0001, Stapi.3634s0002, Stapi.0014s0001, Stapi.0061s0007, Stapi.0036s0003, Stapi.0035s0003, Stapi.0160s0003, Stapi.4895s0001, Stapi.0317s0013, Stapi.0024s0036, Stapi.0075s0016, Stapi.1503s0005, Stapi.0178s0009, Stapi.0187s0002, Stapi.2025s0003, Stapi.0031s0003, Stapi.0127s0007, Stapi.0568s0002, Stapi.0309s0005, Stapi.1683s0005, Stapi.0005s0028, Stapi.0939s0001, Stapi.1400s0006, Stapi.0956s0001, Stapi.1277s0003, Stapi.6921s0001, Stapi.5614s0002, Stapi.0148s0008, Stapi.2174s0001, Stapi.2003s0001, Stapi.1278s0001, Stapi.0381s0004, Stapi.8141s0001, Stapi.1853s0011, Stapi.0072s0013, Stapi.0835s0001, Stapi.0119s0003, Stapi.0122s0011, Stapi.0284s0008, Stapi.0023s0053, Stapi.0654s0008, Stapi.0041s0033, Stapi.3202s0003, Stapi.6904s0001, Stapi.0046s0009, Stapi.2372s0002, Stapi.0613s0005, Stapi.0023s0074, Stapi.0021s0014, Stapi.0113s0018, Stapi.0099s0018, Stapi.0113s0010, Stapi.0221s0014, Stapi.0036s0013, Stapi.2608s0003, Stapi.0052s0001, Stapi.0613s0006, Stapi.1202s0003, Stapi.0753s0004, Stapi.0100s0004, Stapi.0356s0002, Stapi.0148s0001, Stapi.2096s0007, Stapi.0052s0025, Stapi.0682s0009, Stapi.0221s0013, Stapi.2066s0009, Stapi.0100s0025, Stapi.0859s0007, Stapi.0531s0003, Stapi.0775s0002, Stapi.1434s0009, Stapi.2086s0002, Stapi.1823s0004, Stapi.1190s0005, Stapi.0493s0014, Stapi.0017s0011, Stapi.0072s0031, Stapi.1119s0003, Stapi.1985s0001, Stapi.0007s0055, Stapi.0804s0002, Stapi.12356s0001, Stapi.0278s0002, Stapi.0713s0002, Stapi.2704s0003, Stapi.1771s0004, Stapi.0026s0035, Stapi.0026s0038, Stapi.0012s0004, Stapi.0036s0017, Stapi.0723s0002, Stapi.0381s0005, Stapi.0215s0010, Stapi.0715s0002, Stapi.0420s0018, Stapi.3668s0002, Stapi.0011s0033, Stapi.0006s0008, Stapi.0087s0001, Stapi.0535s0001, Stapi.0350s0010, Stapi.0021s0007, Stapi.0268s0002, Stapi.0023s0070, Stapi.0375s0017, Stapi.0047s0007, Stapi.0341s0011, Stapi.0052s0014, Stapi.0013s0035, Stapi.1639s0001, Stapi.1823s0005, Stapi.2435s0001, Stapi.0115s0029, Stapi.0415s0008, Stapi.3862s0001, Stapi.0012s0026, Stapi.0100s0027, Stapi.0288s0008, Stapi.0060s0010, Stapi.0288s0007, Stapi.0284s0005, Stapi.0527s0005, Stapi.1190s0008, Stapi.3002s0003, Stapi.0142s0010, Stapi.1106s0002, Stapi.0008s0037, Stapi.1236s0001, Stapi.0163s0008, Stapi.7880s0001, Stapi.4659s0003, Stapi.1160s0007, Stapi.0506s0014, Stapi.0721s0004, Stapi.0699s0006, Stapi.6382s0001, Stapi.1442s0002, Stapi.2977s0003, Stapi.10901s0001, Stapi.0026s0032, Stapi.0734s0001, Stapi.0277s0006, Stapi.0385s0005, Stapi.0036s0058, Stapi.0041s0011, Stapi.0106s0013, Stapi.0039s0020, Stapi.0309s0003, Stapi.3722s0001, Stapi.5268s0002, Stapi.0281s0007, Stapi.3819s0002, Stapi.3819s0001, Stapi.2911s0001, Stapi.2911s0003	Thhalv10029498m.g
OG0000028	Stapi.0113s0017, Stapi.0414s0021, Stapi.0012s0016, Stapi.0434s0005, Stapi.0282s0015, Stapi.1062s0001	Thhalv10000620m.g, Thhalv10005542m.g, Thhalv10005429m.g, Thhalv10002274m.g, Thhalv10003397m.g
OG0000028	Stapi.3025s0004	Thhalv10027058m.g
OG0000028	Stapi.0776s0008, Stapi.0675s0003	Thhalv10012328m.g
OG0000028	Stapi.0054s0060, Stapi.0013s0048	Thhalv10028246m.g, Thhalv10027529m.g
OG0000028	Stapi.2041s0004	Thhalv10003091m.g, Thhalv10009818m.g, Thhalv10017646m.g, Thhalv10001223m.g, Thhalv10029191m.g, Thhalv10027079m.g, Thhalv10002806m.g, Thhalv10003487m.g, Thhalv10027498m.g, Thhalv10012224m.g, Thhalv10009587m.g, Thhalv10012285m.g, Thhalv10027985m.g, Thhalv10002115m.g
OG0000035	Stapi.0483s0001, Stapi.5552s0004, Stapi.1329s0002, Stapi.0126s0003, Stapi.0747s0001, Stapi.0194s0012, Stapi.2560s0009, Stapi.20606s0002, Stapi.2384s0002, Stapi.16956s0001, Stapi.1443s0018, Stapi.7803s0002, Stapi.6505s0001, Stapi.1849s0008, Stapi.5088s0006, Stapi.23247s0001, Stapi.0184s0013, Stapi.7822s0001, Stapi.0418s0017, Stapi.4547s0005, Stapi.2019s0001, Stapi.3613s0005, Stapi.1734s0002, Stapi.10399s0002, Stapi.2179s0002, Stapi.1293s0002, Stapi.2198s0001, Stapi.6277s0002, Stapi.0290s0013, Stapi.1220s0009, Stapi.0404s0006, Stapi.2179s0004, Stapi.2763s0001, Stapi.1338s0004, Stapi.5492s0001, Stapi.0244s0036, Stapi.22233s0001, Stapi.5013s0001, Stapi.6882s0005, Stapi.4642s0006, Stapi.0045s0018, Stapi.0269s0003, Stapi.5788s0001, Stapi.0172s0023, Stapi.1074s0008, Stapi.0407s0013, Stapi.3022s0004, Stapi.0655s0005, Stapi.6882s0004, Stapi.7708s0007, Stapi.0581s0016, Stapi.3222s0003, Stapi.0032s0016, Stapi.1612s0007, Stapi.8201s0001, Stapi.0385s0015, Stapi.4003s0005, Stapi.0843s0009, Stapi.2631s0001, Stapi.3019s0002, Stapi.2051s0003, Stapi.11164s0001, Stapi.10474s0001, Stapi.3661s0001, Stapi.4674s0003, Stapi.1811s0002, Stapi.15768s0001, Stapi.0820s0019, Stapi.1970s0005, Stapi.3235s0010, Stapi.1198s0019, Stapi.2109s0001, Stapi.8165s0001, Stapi.8635s0003, Stapi.1096s0013, Stapi.1395s0009, Stapi.2094s0001, Stapi.1065s0014, Stapi.1073s0007, Stapi.0038s0015, Stapi.0506s0010, Stapi.0263s0027, Stapi.0023s0024, Stapi.4208s0004, Stapi.0389s0008, Stapi.7708s0006, Stapi.8300s0002, Stapi.0679s0017, Stapi.0320s0002, Stapi.0264s0024, Stapi.1479s0011, Stapi.2868s0004, Stapi.1397s0003, Stapi.15154s0002, Stapi.14054s0001, Stapi.5879s0001, Stapi.30453s0001, Stapi.0711s0012, Stapi.10736s0001, Stapi.1154s0006, Stapi.1074s0006	Thhalv10000534m.g
OG0000045	Stapi.27225s0001, Stapi.0076s0017	Thhalv10019627m.g, Thhalv10015630m.g, Thhalv10000506m.g, Thhalv10029233m.g, Thhalv10002236m.g
OG0000045	Stapi.10314s0001, Stapi.24167s0001, Stapi.1973s0005, Stapi.5677s0001, Stapi.2213s0001	Thhalv10023807m.g, Thhalv10027423m.g
OG0000045	Stapi.10468s0001, Stapi.20177s0001, Stapi.3032s0004	Thhalv10023055m.g
OG0000045	Stapi.8308s0001, Stapi.4736s0002, Stapi.13697s0001	Thhalv10012241m.g
OG0000045	Stapi.10747s0001, Stapi.0422s0013, Stapi.3655s0001, Stapi.0370s0024, Stapi.17558s0001, Stapi.3797s0008, Stapi.0143s0015, Stapi.3583s0004, Stapi.3576s0002, Stapi.5406s0005	Thhalv10019861m.g, Thhalv10029225m.g, Thhalv10001790m.g
OG0000055	Stapi.0340s0031, Stapi.0022s0012, Stapi.1910s0004, Stapi.7998s0002, Stapi.7085s0002, Stapi.1006s0010, Stapi.0201s0002, Stapi.11495s0001, Stapi.4106s0002, Stapi.0929s0007, Stapi.3597s0008, Stapi.0317s0004, Stapi.0316s0017, Stapi.23051s0001, Stapi.12683s0001, Stapi.13136s0001, Stapi.14200s0001, Stapi.4555s0002, Stapi.22196s0001, Stapi.4461s0002, Stapi.9518s0001, Stapi.0129s0028, Stapi.4890s0001, Stapi.21816s0001, Stapi.1864s0006, Stapi.3278s0004, Stapi.0254s0028, Stapi.9389s0001, Stapi.10685s0001, Stapi.2177s0002, Stapi.2046s0009, Stapi.3426s0001, Stapi.8168s0002, Stapi.6336s0002, Stapi.6771s0001, Stapi.1959s0009, Stapi.4516s0006, Stapi.1330s0004, Stapi.2759s0001, Stapi.0563s0021, Stapi.13961s0002, Stapi.13961s0001, Stapi.11037s0001, Stapi.0257s0010, Stapi.4481s0001, Stapi.5085s0003, Stapi.1206s0008, Stapi.0020s0009, Stapi.1076s0006, Stapi.2335s0003, Stapi.4533s0003, Stapi.0454s0001, Stapi.1029s0001, Stapi.1761s0018, Stapi.1110s0001, Stapi.0536s0007, Stapi.10960s0001, Stapi.3696s0001, Stapi.2394s0004, Stapi.2462s0002, Stapi.2462s0003, Stapi.10941s0001, Stapi.1413s0001, Stapi.0649s0004, Stapi.0793s0005, Stapi.3526s0001, Stapi.5686s0008, Stapi.0960s0008, Stapi.1939s0001, Stapi.7201s0004, Stapi.16090s0001, Stapi.2025s0006, Stapi.2465s0001, Stapi.3675s0002, Stapi.0553s0009	Thhalv10003306m.g
OG0000058	Stapi.0222s0014, Stapi.0874s0004, Stapi.2361s0003, Stapi.1607s0011, Stapi.11351s0001, Stapi.2623s0004, Stapi.0145s0016, Stapi.0518s0004, Stapi.10397s0003, Stapi.31492s0001, Stapi.3886s0004, Stapi.0995s0009, Stapi.2045s0008, Stapi.0147s0005, Stapi.0134s0031, Stapi.0694s0018, Stapi.2023s0009, Stapi.1244s0010, Stapi.14649s0001, Stapi.12589s0001, Stapi.2431s0001, Stapi.0744s0003, Stapi.2118s0001, Stapi.2235s0008, Stapi.0177s0029, Stapi.1696s0001, Stapi.0602s0002, Stapi.1947s0003, Stapi.1535s0010, Stapi.14590s0001, Stapi.1680s0001, Stapi.8805s0002, Stapi.6160s0002, Stapi.10559s0001, Stapi.2481s0004, Stapi.9387s0002, Stapi.3856s0004, Stapi.0391s0023, Stapi.9802s0002, Stapi.19171s0001, Stapi.2891s0004, Stapi.0237s0027, Stapi.1591s0001, Stapi.1247s0001, Stapi.7436s0002, Stapi.0456s0003, Stapi.7917s0001, Stapi.1720s0002, Stapi.2176s0009, Stapi.0460s0013, Stapi.0019s0028, Stapi.10811s0001, Stapi.6817s0001, Stapi.1325s0007, Stapi.1426s0007, Stapi.2250s0010, Stapi.16314s0001, Stapi.0253s0033, Stapi.4670s0001, Stapi.0655s0015, Stapi.0040s0016, Stapi.7414s0001, Stapi.0125s0030, Stapi.2272s0006, Stapi.22296s0001, Stapi.13690s0001, Stapi.5376s0005, Stapi.30426s0001, Stapi.1420s0009, Stapi.1524s0003, Stapi.0780s0003, Stapi.1023s0002	Thhalv10002866m.g
OG0000065	Stapi.2503s0006, Stapi.0179s0008, Stapi.15221s0001, Stapi.8179s0003, Stapi.0889s0002, Stapi.1807s0006, Stapi.4188s0004, Stapi.0572s0006, Stapi.21110s0001, Stapi.3032s0003, Stapi.7564s0002, Stapi.0040s0021, Stapi.2432s0006, Stapi.2270s0006, Stapi.11985s0001, Stapi.0887s0012, Stapi.3765s0004, Stapi.0137s0001, Stapi.11843s0001, Stapi.1925s0008, Stapi.7042s0001, Stapi.1212s0004, Stapi.4911s0003, Stapi.1047s0005, Stapi.7019s0005, Stapi.2419s0007, Stapi.0034s0038, Stapi.0722s0009, Stapi.1356s0005, Stapi.9093s0002, Stapi.4415s0003, Stapi.2495s0001, Stapi.4902s0001, Stapi.1416s0005, Stapi.1903s0002, Stapi.0378s0007, Stapi.0603s0009, Stapi.5997s0003, Stapi.16130s0001, Stapi.9609s0001, Stapi.1558s0005, Stapi.4505s0003, Stapi.5802s0001, Stapi.0179s0006, Stapi.0989s0002, Stapi.10830s0002, Stapi.4234s0006, Stapi.3665s0001, Stapi.5833s0005, Stapi.8620s0002, Stapi.0948s0003, Stapi.1171s0004, Stapi.0218s0052, Stapi.5708s0002, Stapi.2276s0004, Stapi.9392s0001, Stapi.14569s0001, Stapi.17765s0001	Thhalv10026974m.g, Thhalv10028995m.g, Thhalv10000723m.g
